commercial_area_code,district_code,category_code,score,expected_sales,closure_risk
3110055,11140670,CS100001,84.86,805389690,1.17
3110055,11140670,CS100009,75.36,437699737,0.8
3110055,11140670,CS300032,91.84,1434205649,0.87
3110055,11140670,CS300036,90.85,1298474419,1.34
3110055,11140670,CS300043,67.0,255899723,1.37
3110008,11110515,CS100001,51.59,1212968661,97.61
3110008,11110515,CS100003,23.61,198540836,97.78
3110008,11110515,CS100004,29.81,278958826,97.25
3110008,11110515,CS100005,27.77,247529740,97.72
3110008,11110515,CS100006,23.96,200532644,97.53
3110008,11110515,CS100007,13.51,108143222,97.1
3110008,11110515,CS100008,21.21,170304482,97.04
3110008,11110515,CS100009,33.96,357962477,97.04
3110008,11110515,CS100010,22.49,181524733,97.05
3110008,11110515,CS200001,34.46,364048713,96.44
3110008,11110515,CS200028,14.63,115021637,96.98
3110008,11110515,CS300001,44.83,711815972,97.04
3110008,11110515,CS300011,4.39,-8382647,98.14
3110008,11110515,CS300020,29.75,273958620,96.77
3110008,11110515,CS300021,37.74,485223045,98.16
3110008,11110515,CS300028,5.85,33890480,97.7
3110009,11110550,CS100001,51.37,1039027531,92.18
3110009,11110550,CS100004,28.88,247050539,94.77
3110009,11110550,CS100010,25.23,199847119,94.13
3110009,11110550,CS300001,44.31,644335917,94.34
3110009,11110550,CS300028,6.95,33890480,94.97
3110010,11110560,CS100001,70.74,2666999781,62.85
3110010,11110560,CS100005,53.64,413558588,52.98
3110010,11110560,CS100008,48.79,299028895,52.94
3110010,11110560,CS100009,63.28,869686387,57.26
3110010,11110560,CS100010,59.01,619605911,55.95
3110010,11110560,CS200001,53.0,452639277,57.66
3110010,11110560,CS200003,41.26,221715114,58.68
3110010,11110560,CS200005,42.48,207815316,53.04
3110010,11110560,CS200028,42.15,214693730,55.19
3110010,11110560,CS200030,33.96,124742984,53.37
3110010,11110560,CS200031,32.76,140653211,60.87
3110010,11110560,CS300001,68.28,1180098438,54.87
3110010,11110560,CS300007,34.38,134701685,55.61
3110010,11110560,CS300021,54.17,475808639,56.53
3110010,11110560,CS300029,33.02,140653211,60.2
3110017,11110600,CS100001,48.21,986728190,98.47
3110017,11110600,CS100010,25.91,233405353,98.83
3110017,11110600,CS300001,40.54,580539488,98.89
3110018,11110600,CS100001,54.65,1816176863,97.6
3110018,11110600,CS100004,32.69,334040133,97.64
3110018,11110600,CS100010,31.51,313248899,97.69
3110018,11110600,CS200028,9.79,79006258,97.92
3110018,11110600,CS300001,42.6,637488462,97.94
3110018,11110600,CS300010,54.92,1989918262,98.25
3110018,11110600,CS300011,41.13,592150359,98.42
3110018,11110600,CS300015,33.17,351893815,98.46
3110018,11110600,CS300017,49.54,1088989789,98.51
3110018,11110600,CS300021,42.96,652610837,98.62
3110019,11110615,CS100001,97.47,4114211778,0.42
3110019,11110615,CS100009,79.64,570703418,0.29
3110019,11110615,CS100010,72.14,346165256,0.59
3110019,11110615,CS300001,86.53,907748472,0.36
3110019,11110615,CS300017,87.86,1019907088,0.31
3110020,11110650,CS100001,49.02,1022556121,97.55
3110020,11110650,CS100008,20.81,170304482,98.05
3110020,11110650,CS100010,22.01,180818197,97.97
3110020,11110650,CS200028,14.29,115728173,98.13
3110020,11110650,CS200031,6.68,49800707,98.7
3110020,11110650,CS200032,6.86,52807561,99.04
3110020,11110650,CS300001,42.78,644335917,98.18
3110020,11110650,CS300002,38.42,516917063,98.41
3110020,11110650,CS300018,51.46,1217194304,98.12
3110020,11110650,CS300035,12.5,105712044,98.78
3110020,11110650,CS300043,18.27,150872950,99.29
3110001,11110560,CS100001,83.05,2409747355,30.6
3110001,11110560,CS100009,73.14,809447441,30.65
3110001,11110560,CS200001,74.35,896455935,30.44
3110002,11110570,CS100001,84.36,809196930,2.58
3110002,11110570,CS100005,61.41,196527127,2.9
3110002,11110570,CS100010,57.94,161017335,3.26
3110002,11110570,CS200001,69.49,311633028,2.55
3110002,11110570,CS200003,43.31,26892930,3.22
3110002,11110570,CS200028,43.36,20578082,2.58
3110002,11110570,CS300018,92.84,1767134522,1.71
3110003,11110550,CS100001,93.55,1870835718,0.78
3110003,11110550,CS100005,71.58,334812292,0.62
3110003,11110550,CS100008,64.2,219576063,0.92
3110003,11110550,CS100009,77.2,507582789,0.75
3110003,11110550,CS100010,69.72,300879999,0.86
3110003,11110550,CS200001,76.72,484110515,0.68
3110003,11110550,CS200003,57.14,143675355,0.62
3110003,11110550,CS200005,55.65,129775556,0.68
3110003,11110550,CS200024,60.04,172648254,0.7
3110003,11110550,CS200028,56.49,135947435,0.69
3110003,11110550,CS200031,47.15,61906915,0.76
3110003,11110550,CS300002,83.08,701944716,0.87
3110003,11110550,CS300010,90.83,1253402372,0.64
3110003,11110550,CS300011,63.61,210266176,0.92
3110004,11110580,CS100001,72.38,417235763,6.45
3110004,11110580,CS100010,39.38,-162987982,6.12
3110004,11110580,CS200028,39.22,-194922930,6.16
3110035,11110710,CS100001,52.67,553783485,65.81
3110035,11110710,CS100007,21.28,65933708,66.65
3110035,11110710,CS100008,24.28,93526819,65.42
3110035,11110710,CS100009,40.34,249276528,66.79
3110035,11110710,CS100010,25.88,104040535,64.71
3110035,11110710,CS200037,21.23,72105587,68.01
3110035,11110710,CS300001,53.24,567558255,65.92
3110035,11110710,CS300004,22.88,85798899,66.47
3110035,11110710,CS300017,13.6,-773696056,67.53
